edited_start_frame,edited_start_time_ms,edited_end_frame,edited_end_time_ms,original_video_name,original_start_frame,original_start_time_ms,original_end_frame,original_end_time_ms
7090,295712,7090,295712,original,60002,2502583,60002,2502583
7091,295753,7092,295795,original,60002,2502583,60003,2502625
7093,295837,7093,295837,original,60005,2502708,60005,2502708
7094,295878,7095,295920,original,60005,2502708,60006,2502750
7096,295962,7132,297463,original,127705,5326363,127741,5327863
7133,297505,7176,299298,original,118763,4953407,118806,4955199
7177,299340,7231,301592,original,118975,4962248,119029,4964501
7232,301634,7232,301634,original,27807,1159784,27807,1159784
7233,301676,7234,301718,original,27809,1159866,27810,1159909
7235,301759,7235,301759,original,27810,1159909,27810,1159909
7236,301801,7237,301843,original,27812,1159991,27813,1160034
7238,301884,7239,301926,original,27813,1160034,27814,1160076
7240,301968,7240,301968,original,27816,1160159,27816,1160159
7241,302010,7242,302051,original,27816,1160159,27817,1160201
7243,302093,7243,302093,original,27819,1160284,27819,1160284
7244,302135,7247,302260,original,27819,1160284,27822,1160409
7248,302302,7248,302302,original,27824,1160492,27824,1160492
7249,302343,7250,302385,original,27824,1160492,27825,1160534
7251,302427,7251,302427,original,27827,1160617,27827,1160617
7252,302468,7253,302510,original,27827,1160617,27828,1160660
7254,302552,7254,302552,original,27830,1160742,27830,1160742
7255,302593,7256,302635,original,27830,1160742,27831,1160785
7257,302677,7258,302719,original,27833,1160867,27834,1160910
7259,302760,7259,302760,original,27834,1160910,27834,1160910
7260,302802,7261,302844,original,27836,1160992,27837,1161035
7262,302885,7262,302885,original,27837,1161035,27837,1161035
7263,302927,7268,303136,original,27839,1161117,27844,1161326
7269,303177,7270,303219,original,27844,1161326,27845,1161368
7271,303261,7271,303261,original,27847,1161451,27847,1161451
7272,303302,7273,303344,original,27847,1161451,27848,1161493
7274,303386,7275,303428,original,27850,1161576,27851,1161618
7276,303469,7277,303511,original,27851,1161618,27852,1161661
7278,303553,7311,304929,original,88727,3700655,88760,3702032
7312,304971,7326,305555,original,123921,5168537,123935,5169122
7327,305596,7338,306055,original,124001,5171875,124012,5172333
7339,306097,7356,306806,original,124029,5173042,124046,5173752
7357,306848,7374,307557,original,163051,6800585,163068,6801295
7375,307598,7389,308182,original,163067,6801252,163081,6801837
7390,308224,7429,309851,original,164856,6875868,164895,6877496
7430,309892,8012,334167,original,166508,6944770,167090,6969045
8013,334208,8056,336002,original,33969,1416789,34012,1418584
8057,336044,8057,336044,original,34014,1418666,34014,1418666
8058,336085,8059,336127,original,34014,1418666,34015,1418709
8060,336169,8060,336169,original,34017,1418791,34017,1418791
8061,336210,8080,337003,original,34017,1418791,34036,1419585
8081,337045,8081,337045,original,34038,1419667,34038,1419667
